amount,duration,rate,down_payment,emi
45230.00 , 48.00 , 0.07 , 4300.00 , 981.00
883000.00 , 16.00 , 0.14 , 0.00 , 60819.00
100000.00 , 12.00 , 0.10 , 0.00 , 8792.00
728400.00 , 120.00 , 0.12 , 100000.00 , 9016.00
3637400.00 , 240.00 , 0.06 , 0.00 , 26060.00
82900.00 , 90.00 , 0.07 , 8900.00 , 1060.00
316000.00 , 16.00 , 0.13 , 0.00 , 21618.00
15230.00 , 48.00 , 0.08 , 4300.00 , 267.00
991360.00 , 99.00 , 0.08 , 0.00 , 13712.00
323000.00 , 27.00 , 0.09 , 4720010000.00 , 36.00
528400.00 , 120.00 , 0.11 , 100000.00 , 5902.00
8633400.00 , 240.00 , 0.06 , 0.00 , 61853.00
12900.00 , 90.00 , 0.08 , 8900.00 , 60.00
